ID,Route,Section,Component/root,Purpose,Current visual container,Current background,Transition in,Transition out,Relationship to previous,Relationship to next
S0230,/for-ai-agents/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Turn vague requests into usable LMD data,Prepares Shared page ending / footer
S0231,/frameworks/,site-shell frameworks-index__masthead,site-shell frameworks-index__masthead,Orient the visitor and establish the page promise,header depth 1; 807px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0232,/frameworks/,process-loop process-loop--micro p-4,process-loop process-loop--micro p-4,Develop the page's primary narrative or task,section depth 3; 247px,"rgb(15, 17, 16)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0233,/frameworks/,Framework library summary,frameworks-index__summary,Support scanning and route discovery,section depth 1; 185px,"rgb(15, 14, 13)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0234,/frameworks/,Framework index,site-shell frameworks-index__listing,Support scanning and route discovery,section depth 1; 1850px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0235,/frameworks/,frameworks-index__boundary,frameworks-index__boundary,Support scanning and route discovery,section depth 1; 575px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares RFQs and delivery claims belong to Exafuse.
S0236,/frameworks/,RFQs and delivery claims belong to Exafuse.,frameworks-index__commercial-boundary,Support scanning and route discovery,aside depth 3; 373px,"rgb(15, 17, 16)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0237,/frameworks/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows RFQs and delivery claims belong to Exafuse.,Prepares Move from framework to verifiable decisions
S0238,/frameworks/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0239,/frameworks/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Move from framework to verifiable decisions,Prepares Shared page ending / footer
S0240,/frameworks/lmd-ai-maturity-model/,The LMD-AI Maturity Model by Manish Sharma,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 4798px,"rgb(10, 11, 11)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0241,/frameworks/lmd-ai-maturity-model/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 704px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows The LMD-AI Maturity Model by Manish Sharma,Prepares an unlabeled structural region
S0242,/frameworks/lmd-ai-maturity-model/,band py-8,band py-8,Develop the page's primary narrative or task,section depth 2; 465px,"rgb(23, 24, 23)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0243,/frameworks/lmd-ai-maturity-model/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 520px,"rgb(23, 24, 23)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0244,/frameworks/lmd-ai-maturity-model/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 858px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares Definition
S0245,/frameworks/lmd-ai-maturity-model/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Problem it solves
S0246,/frameworks/lmd-ai-maturity-model/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Definition,Prepares Who it is for
S0247,/frameworks/lmd-ai-maturity-model/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Problem it solves,Prepares Inputs required
S0248,/frameworks/lmd-ai-maturity-model/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Who it is for,Prepares Output
S0249,/frameworks/lmd-ai-maturity-model/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Inputs required,Prepares Evidence needed
S0250,/frameworks/lmd-ai-maturity-model/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Output,Prepares Limitations
S0251,/frameworks/lmd-ai-maturity-model/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Evidence needed,Prepares Example use case
S0252,/frameworks/lmd-ai-maturity-model/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Limitations,Prepares Thesis connection
S0253,/frameworks/lmd-ai-maturity-model/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows Example use case,Prepares an unlabeled structural region
S0254,/frameworks/lmd-ai-maturity-model/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1407px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows Thesis connection,Prepares an unlabeled structural region
S0255,/frameworks/lmd-ai-maturity-model/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 824px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0256,/frameworks/lmd-ai-maturity-model/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Move from framework to verifiable decisions
S0257,/frameworks/lmd-ai-maturity-model/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0258,/frameworks/lmd-ai-maturity-model/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Move from framework to verifiable decisions,Prepares Shared page ending / footer
S0259,/frameworks/lmd-ai-readiness-score/,LMD-AI Readiness Score,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 4612px,"rgb(10, 11, 11)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0260,/frameworks/lmd-ai-readiness-score/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 597px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows LMD-AI Readiness Score,Prepares an unlabeled structural region
S0261,/frameworks/lmd-ai-readiness-score/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 929px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0262,/frameworks/lmd-ai-readiness-score/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 858px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares Definition
S0263,/frameworks/lmd-ai-readiness-score/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Problem it solves
S0264,/frameworks/lmd-ai-readiness-score/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Definition,Prepares Who it is for
S0265,/frameworks/lmd-ai-readiness-score/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Problem it solves,Prepares Inputs required
S0266,/frameworks/lmd-ai-readiness-score/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Who it is for,Prepares Output
S0267,/frameworks/lmd-ai-readiness-score/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Inputs required,Prepares Evidence needed
S0268,/frameworks/lmd-ai-readiness-score/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Output,Prepares Limitations
S0269,/frameworks/lmd-ai-readiness-score/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Evidence needed,Prepares Example use case
S0270,/frameworks/lmd-ai-readiness-score/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Limitations,Prepares Thesis connection
S0271,/frameworks/lmd-ai-readiness-score/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows Example use case,Prepares an unlabeled structural region
S0272,/frameworks/lmd-ai-readiness-score/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1033px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows Thesis connection,Prepares an unlabeled structural region
S0273,/frameworks/lmd-ai-readiness-score/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 625px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0274,/frameworks/lmd-ai-readiness-score/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 550px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0275,/frameworks/lmd-ai-readiness-score/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Move from framework to verifiable decisions
S0276,/frameworks/lmd-ai-readiness-score/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0277,/frameworks/lmd-ai-readiness-score/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Move from framework to verifiable decisions,Prepares Shared page ending / footer
S0278,/frameworks/lmd-failure-atlas/,LMD Failure Atlas,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 5166px,"rgb(10, 11, 11)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0279,/frameworks/lmd-failure-atlas/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 587px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows LMD Failure Atlas,Prepares an unlabeled structural region
S0280,/frameworks/lmd-failure-atlas/,band py-8,band py-8,Develop the page's primary narrative or task,section depth 2; 465px,"rgb(23, 24, 23)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0281,/frameworks/lmd-failure-atlas/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 472px,"rgb(23, 24, 23)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0282,/frameworks/lmd-failure-atlas/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 882px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares Definition
S0283,/frameworks/lmd-failure-atlas/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Problem it solves
S0284,/frameworks/lmd-failure-atlas/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Definition,Prepares Who it is for
S0285,/frameworks/lmd-failure-atlas/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Problem it solves,Prepares Inputs required
S0286,/frameworks/lmd-failure-atlas/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Who it is for,Prepares Output
S0287,/frameworks/lmd-failure-atlas/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Inputs required,Prepares Evidence needed
S0288,/frameworks/lmd-failure-atlas/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Output,Prepares Limitations
S0289,/frameworks/lmd-failure-atlas/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Evidence needed,Prepares Example use case
S0290,/frameworks/lmd-failure-atlas/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Limitations,Prepares Thesis connection
S0291,/frameworks/lmd-failure-atlas/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows Example use case,Prepares an unlabeled structural region
S0292,/frameworks/lmd-failure-atlas/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1917px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows Thesis connection,Prepares Porosity
S0293,/frameworks/lmd-failure-atlas/,Porosity,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Lack of fusion
S0294,/frameworks/lmd-failure-atlas/,Lack of fusion,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 190px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Porosity,Prepares Cracking
S0295,/frameworks/lmd-failure-atlas/,Cracking,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Lack of fusion,Prepares Excess dilution
S0296,/frameworks/lmd-failure-atlas/,Excess dilution,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Cracking,Prepares Distortion
S0297,/frameworks/lmd-failure-atlas/,Distortion,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Excess dilution,Prepares Surface or bead geometry defect
S0298,/frameworks/lmd-failure-atlas/,Surface or bead geometry defect,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Distortion,Prepares Property mismatch
S0299,/frameworks/lmd-failure-atlas/,Property mismatch,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows Surface or bead geometry defect,Prepares an unlabeled structural region
S0300,/frameworks/lmd-failure-atlas/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 824px,"rgb(23, 24, 23)",surface reset,surface reset,Follows Property mismatch,Prepares an unlabeled structural region
S0301,/frameworks/lmd-failure-atlas/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Move from framework to verifiable decisions
S0302,/frameworks/lmd-failure-atlas/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0303,/frameworks/lmd-failure-atlas/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Move from framework to verifiable decisions,Prepares Shared page ending / footer
S0304,/frameworks/lmd-quality-evidence-ladder/,LMD Quality Evidence Ladder,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 6120px,"rgb(10, 11, 11)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0305,/frameworks/lmd-quality-evidence-ladder/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 597px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows LMD Quality Evidence Ladder,Prepares an unlabeled structural region
S0306,/frameworks/lmd-quality-evidence-ladder/,band py-12,band py-12,Develop the page's primary narrative or task,section depth 2; 611px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0307,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 826px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares Definition
S0308,/frameworks/lmd-quality-evidence-ladder/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Problem it solves
S0309,/frameworks/lmd-quality-evidence-ladder/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Definition,Prepares Who it is for
S0310,/frameworks/lmd-quality-evidence-ladder/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Problem it solves,Prepares Inputs required
S0311,/frameworks/lmd-quality-evidence-ladder/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Who it is for,Prepares Output
S0312,/frameworks/lmd-quality-evidence-ladder/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Inputs required,Prepares Evidence needed
S0313,/frameworks/lmd-quality-evidence-ladder/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Output,Prepares Limitations
S0314,/frameworks/lmd-quality-evidence-ladder/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Evidence needed,Prepares Example use case
S0315,/frameworks/lmd-quality-evidence-ladder/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Limitations,Prepares Thesis connection
S0316,/frameworks/lmd-quality-evidence-ladder/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows Example use case,Prepares an unlabeled structural region
S0317,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 2297px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows Thesis connection,Prepares Evidence becomes stronger through different methods
S0318,/frameworks/lmd-quality-evidence-ladder/,Evidence becomes stronger through different methods,section (unclassed),"Present inspectable evidence, source context, or limitations",section depth 4; 1988px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0319,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 572px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows Evidence becomes stronger through different methods,Prepares an unlabeled structural region
S0320,/frameworks/lmd-quality-evidence-ladder/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 647px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0321,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 550px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0322,/frameworks/lmd-quality-evidence-ladder/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Move from framework to verifiable decisions
S0323,/frameworks/lmd-quality-evidence-ladder/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0324,/frameworks/lmd-quality-evidence-ladder/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Move from framework to verifiable decisions,Prepares Shared page ending / footer
S0325,/frameworks/lmd-repairability-index/,LMD Repairability Index,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 6062px,"rgb(10, 11, 11)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0326,/frameworks/lmd-repairability-index/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 587px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows LMD Repairability Index,Prepares an unlabeled structural region
S0327,/frameworks/lmd-repairability-index/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 905px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0328,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 858px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares Definition
S0329,/frameworks/lmd-repairability-index/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Problem it solves
S0330,/frameworks/lmd-repairability-index/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Definition,Prepares Who it is for
S0331,/frameworks/lmd-repairability-index/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Problem it solves,Prepares Inputs required
S0332,/frameworks/lmd-repairability-index/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Who it is for,Prepares Output
S0333,/frameworks/lmd-repairability-index/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Inputs required,Prepares Evidence needed
S0334,/frameworks/lmd-repairability-index/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Output,Prepares Limitations
S0335,/frameworks/lmd-repairability-index/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Evidence needed,Prepares Example use case
S0336,/frameworks/lmd-repairability-index/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Limitations,Prepares Thesis connection
S0337,/frameworks/lmd-repairability-index/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows Example use case,Prepares an unlabeled structural region
S0338,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1552px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows Thesis connection,Prepares an unlabeled structural region
S0339,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 572px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0340,/frameworks/lmd-repairability-index/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 1019px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0341,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 550px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0342,/frameworks/lmd-repairability-index/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Move from framework to verifiable decisions
S0343,/frameworks/lmd-repairability-index/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0344,/frameworks/lmd-repairability-index/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Move from framework to verifiable decisions,Prepares Shared page ending / footer
S0345,/glossary/,site-shell glossary-index__masthead,site-shell glossary-index__masthead,Orient the visitor and establish the page promise,header depth 1; 680px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0346,/glossary/,Core glossary terms,site-shell glossary-index__core,Support scanning and route discovery,section depth 1; 570px,"rgb(15, 14, 13)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
