ID,Route,Section,Component/root,Purpose,Layout,Scene type,Visual weight,Transition in,Transition out
S0221,/for-ai-agents/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 418px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0222,/for-ai-agents/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 2595px,Narrative,dominant,same canvas / spacing gap,same canvas / spacing gap
S0223,/for-ai-agents/,Identity and technical domain,section (unclassed),Develop the page's primary narrative or task,section depth 3; 368px,Brand,supporting,same canvas / spacing gap,same canvas / spacing gap
S0224,/for-ai-agents/,Frameworks and tools,section (unclassed),Develop the page's primary narrative or task,section depth 3; 782px,Instrument,substantial,same canvas / spacing gap,same canvas / spacing gap
S0225,/for-ai-agents/,Source maps and agent files,section (unclassed),"Present inspectable evidence, source context, or limitations",section depth 3; 696px,Reference,substantial,same canvas / spacing gap,same canvas / spacing gap
S0226,/for-ai-agents/,Exafuse commercial boundary,section (unclassed),Develop the page's primary narrative or task,section depth 3; 204px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0227,/for-ai-agents/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 3955px,Narrative,dominant,same canvas / spacing gap,same canvas / spacing gap
S0228,/for-ai-agents/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0229,/for-ai-agents/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0230,/for-ai-agents/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0231,/frameworks/,site-shell frameworks-index__masthead,site-shell frameworks-index__masthead,Orient the visitor and establish the page promise,header depth 1; 807px,Brand,substantial,same canvas / spacing gap,surface reset
S0232,/frameworks/,process-loop process-loop--micro p-4,process-loop process-loop--micro p-4,Develop the page's primary narrative or task,section depth 3; 247px,Narrative,supporting,surface reset,surface reset
S0233,/frameworks/,Framework library summary,frameworks-index__summary,Support scanning and route discovery,section depth 1; 185px,Narrative,supporting,surface reset,surface reset
S0234,/frameworks/,Framework index,site-shell frameworks-index__listing,Support scanning and route discovery,section depth 1; 1850px,Narrative,dominant,surface reset,surface reset
S0235,/frameworks/,frameworks-index__boundary,frameworks-index__boundary,Support scanning and route discovery,section depth 1; 575px,Reference,substantial,surface reset,surface reset
S0236,/frameworks/,RFQs and delivery claims belong to Exafuse.,frameworks-index__commercial-boundary,Support scanning and route discovery,aside depth 3; 373px,Reference,supporting,surface reset,surface reset
S0237,/frameworks/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,surface reset,same canvas / spacing gap
S0238,/frameworks/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0239,/frameworks/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0240,/frameworks/lmd-ai-maturity-model/,The LMD-AI Maturity Model by Manish Sharma,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 4798px,Brand,dominant,same canvas / spacing gap,surface reset
S0241,/frameworks/lmd-ai-maturity-model/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 704px,Brand,substantial,surface reset,surface reset
S0242,/frameworks/lmd-ai-maturity-model/,band py-8,band py-8,Develop the page's primary narrative or task,section depth 2; 465px,Narrative,supporting,surface reset,same canvas / spacing gap
S0243,/frameworks/lmd-ai-maturity-model/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 520px,Narrative,substantial,same canvas / spacing gap,surface reset
S0244,/frameworks/lmd-ai-maturity-model/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 858px,Narrative,substantial,surface reset,surface reset
S0245,/frameworks/lmd-ai-maturity-model/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,surface reset,same canvas / spacing gap
S0246,/frameworks/lmd-ai-maturity-model/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0247,/frameworks/lmd-ai-maturity-model/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0248,/frameworks/lmd-ai-maturity-model/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0249,/frameworks/lmd-ai-maturity-model/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Instrument,supporting,same canvas / spacing gap,same canvas / spacing gap
S0250,/frameworks/lmd-ai-maturity-model/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0251,/frameworks/lmd-ai-maturity-model/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0252,/frameworks/lmd-ai-maturity-model/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0253,/frameworks/lmd-ai-maturity-model/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,surface reset
S0254,/frameworks/lmd-ai-maturity-model/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1407px,Narrative,dominant,surface reset,surface reset
S0255,/frameworks/lmd-ai-maturity-model/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 824px,Narrative,substantial,surface reset,surface reset
S0256,/frameworks/lmd-ai-maturity-model/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,surface reset,same canvas / spacing gap
S0257,/frameworks/lmd-ai-maturity-model/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0258,/frameworks/lmd-ai-maturity-model/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0259,/frameworks/lmd-ai-readiness-score/,LMD-AI Readiness Score,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 4612px,Brand,dominant,same canvas / spacing gap,surface reset
S0260,/frameworks/lmd-ai-readiness-score/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 597px,Brand,substantial,surface reset,surface reset
S0261,/frameworks/lmd-ai-readiness-score/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 929px,Narrative,dominant,surface reset,surface reset
S0262,/frameworks/lmd-ai-readiness-score/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 858px,Narrative,substantial,surface reset,surface reset
S0263,/frameworks/lmd-ai-readiness-score/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,surface reset,same canvas / spacing gap
S0264,/frameworks/lmd-ai-readiness-score/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0265,/frameworks/lmd-ai-readiness-score/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0266,/frameworks/lmd-ai-readiness-score/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0267,/frameworks/lmd-ai-readiness-score/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Instrument,supporting,same canvas / spacing gap,same canvas / spacing gap
S0268,/frameworks/lmd-ai-readiness-score/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0269,/frameworks/lmd-ai-readiness-score/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0270,/frameworks/lmd-ai-readiness-score/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0271,/frameworks/lmd-ai-readiness-score/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,surface reset
S0272,/frameworks/lmd-ai-readiness-score/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1033px,Narrative,dominant,surface reset,surface reset
S0273,/frameworks/lmd-ai-readiness-score/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 625px,Narrative,substantial,surface reset,surface reset
S0274,/frameworks/lmd-ai-readiness-score/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 550px,Narrative,substantial,surface reset,same canvas / spacing gap
S0275,/frameworks/lmd-ai-readiness-score/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0276,/frameworks/lmd-ai-readiness-score/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0277,/frameworks/lmd-ai-readiness-score/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0278,/frameworks/lmd-failure-atlas/,LMD Failure Atlas,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 5166px,Brand,dominant,same canvas / spacing gap,surface reset
S0279,/frameworks/lmd-failure-atlas/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 587px,Brand,substantial,surface reset,surface reset
S0280,/frameworks/lmd-failure-atlas/,band py-8,band py-8,Develop the page's primary narrative or task,section depth 2; 465px,Narrative,supporting,surface reset,same canvas / spacing gap
S0281,/frameworks/lmd-failure-atlas/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 472px,Narrative,supporting,same canvas / spacing gap,surface reset
S0282,/frameworks/lmd-failure-atlas/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 882px,Narrative,substantial,surface reset,surface reset
S0283,/frameworks/lmd-failure-atlas/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,surface reset,same canvas / spacing gap
S0284,/frameworks/lmd-failure-atlas/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0285,/frameworks/lmd-failure-atlas/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0286,/frameworks/lmd-failure-atlas/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0287,/frameworks/lmd-failure-atlas/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Instrument,supporting,same canvas / spacing gap,same canvas / spacing gap
S0288,/frameworks/lmd-failure-atlas/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0289,/frameworks/lmd-failure-atlas/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0290,/frameworks/lmd-failure-atlas/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0291,/frameworks/lmd-failure-atlas/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,surface reset
S0292,/frameworks/lmd-failure-atlas/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1917px,Narrative,dominant,surface reset,surface reset
S0293,/frameworks/lmd-failure-atlas/,Porosity,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,Narrative,supporting,surface reset,same canvas / spacing gap
S0294,/frameworks/lmd-failure-atlas/,Lack of fusion,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 190px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0295,/frameworks/lmd-failure-atlas/,Cracking,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0296,/frameworks/lmd-failure-atlas/,Excess dilution,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0297,/frameworks/lmd-failure-atlas/,Distortion,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0298,/frameworks/lmd-failure-atlas/,Surface or bead geometry defect,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0299,/frameworks/lmd-failure-atlas/,Property mismatch,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 4; 214px,Narrative,supporting,same canvas / spacing gap,surface reset
S0300,/frameworks/lmd-failure-atlas/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 824px,Narrative,substantial,surface reset,surface reset
S0301,/frameworks/lmd-failure-atlas/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,surface reset,same canvas / spacing gap
S0302,/frameworks/lmd-failure-atlas/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0303,/frameworks/lmd-failure-atlas/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0304,/frameworks/lmd-quality-evidence-ladder/,LMD Quality Evidence Ladder,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 6120px,Reference,dominant,same canvas / spacing gap,surface reset
S0305,/frameworks/lmd-quality-evidence-ladder/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 597px,Brand,substantial,surface reset,surface reset
S0306,/frameworks/lmd-quality-evidence-ladder/,band py-12,band py-12,Develop the page's primary narrative or task,section depth 2; 611px,Narrative,substantial,surface reset,surface reset
S0307,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 826px,Narrative,substantial,surface reset,surface reset
S0308,/frameworks/lmd-quality-evidence-ladder/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,surface reset,same canvas / spacing gap
S0309,/frameworks/lmd-quality-evidence-ladder/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0310,/frameworks/lmd-quality-evidence-ladder/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0311,/frameworks/lmd-quality-evidence-ladder/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0312,/frameworks/lmd-quality-evidence-ladder/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Instrument,supporting,same canvas / spacing gap,same canvas / spacing gap
S0313,/frameworks/lmd-quality-evidence-ladder/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0314,/frameworks/lmd-quality-evidence-ladder/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0315,/frameworks/lmd-quality-evidence-ladder/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0316,/frameworks/lmd-quality-evidence-ladder/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,surface reset
S0317,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 2297px,Narrative,dominant,surface reset,same canvas / spacing gap
S0318,/frameworks/lmd-quality-evidence-ladder/,Evidence becomes stronger through different methods,section (unclassed),"Present inspectable evidence, source context, or limitations",section depth 4; 1988px,Reference,dominant,same canvas / spacing gap,same canvas / spacing gap
S0319,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 572px,Narrative,substantial,same canvas / spacing gap,surface reset
S0320,/frameworks/lmd-quality-evidence-ladder/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 647px,Narrative,substantial,surface reset,surface reset
S0321,/frameworks/lmd-quality-evidence-ladder/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 550px,Narrative,substantial,surface reset,same canvas / spacing gap
S0322,/frameworks/lmd-quality-evidence-ladder/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0323,/frameworks/lmd-quality-evidence-ladder/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0324,/frameworks/lmd-quality-evidence-ladder/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0325,/frameworks/lmd-repairability-index/,LMD Repairability Index,framework-article framework-article--has-masthead-visual,Orient the visitor and establish the page promise,article depth 0; 6062px,Brand,dominant,same canvas / spacing gap,surface reset
S0326,/frameworks/lmd-repairability-index/,site-shell framework-article__masthead,site-shell framework-article__masthead,Orient the visitor and establish the page promise,header depth 1; 587px,Brand,substantial,surface reset,surface reset
S0327,/frameworks/lmd-repairability-index/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 905px,Narrative,dominant,surface reset,surface reset
S0328,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 858px,Narrative,substantial,surface reset,surface reset
S0329,/frameworks/lmd-repairability-index/,Definition,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,surface reset,same canvas / spacing gap
S0330,/frameworks/lmd-repairability-index/,Problem it solves,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0331,/frameworks/lmd-repairability-index/,Who it is for,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0332,/frameworks/lmd-repairability-index/,Inputs required,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0333,/frameworks/lmd-repairability-index/,Output,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Instrument,supporting,same canvas / spacing gap,same canvas / spacing gap
S0334,/frameworks/lmd-repairability-index/,Evidence needed,ordered-card p-5,"Present inspectable evidence, source context, or limitations",article depth 4; 154px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0335,/frameworks/lmd-repairability-index/,Limitations,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0336,/frameworks/lmd-repairability-index/,Example use case,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0337,/frameworks/lmd-repairability-index/,Thesis connection,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,surface reset
S0338,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 1552px,Narrative,dominant,surface reset,same canvas / spacing gap
S0339,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 572px,Narrative,substantial,same canvas / spacing gap,surface reset
S0340,/frameworks/lmd-repairability-index/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 2; 1019px,Narrative,dominant,surface reset,surface reset
S0341,/frameworks/lmd-repairability-index/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 2; 550px,Narrative,substantial,surface reset,same canvas / spacing gap
S0342,/frameworks/lmd-repairability-index/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0343,/frameworks/lmd-repairability-index/,Move from framework to verifiable decisions,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0344,/frameworks/lmd-repairability-index/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0345,/glossary/,site-shell glossary-index__masthead,site-shell glossary-index__masthead,Orient the visitor and establish the page promise,header depth 1; 680px,Reference,substantial,same canvas / spacing gap,surface reset
S0346,/glossary/,Core glossary terms,site-shell glossary-index__core,Support scanning and route discovery,section depth 1; 570px,Reference,substantial,surface reset,surface reset
S0347,/glossary/,glossary-index__decision-vocabulary,glossary-index__decision-vocabulary,Support scanning and route discovery,section depth 1; 1309px,Reference,dominant,surface reset,surface reset
S0348,/glossary/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,surface reset,same canvas / spacing gap
S0349,/glossary/,Use definitions inside decision workflows,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0350,/glossary/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0351,/glossary/directed-energy-deposition/,Directed Energy Deposition,glossary-article,Develop the page's primary narrative or task,article depth 0; 2929px,Reference,dominant,same canvas / spacing gap,surface reset
S0352,/glossary/directed-energy-deposition/,site-shell glossary-article__masthead,site-shell glossary-article__masthead,Orient the visitor and establish the page promise,header depth 1; 569px,Reference,substantial,surface reset,same canvas / spacing gap
S0353,/glossary/directed-energy-deposition/,site-shell glossary-article__meaning,site-shell glossary-article__meaning,Develop the page's primary narrative or task,section depth 2; 1152px,Reference,dominant,same canvas / spacing gap,same canvas / spacing gap
S0354,/glossary/directed-energy-deposition/,glossary-article__notes,glossary-article__notes,Provide supporting context without interrupting the primary flow,aside depth 3; 548px,Reference,substantial,same canvas / spacing gap,surface reset
S0355,/glossary/directed-energy-deposition/,glossary-article__faq,glossary-article__faq,Develop the page's primary narrative or task,section depth 2; 578px,Reference,substantial,surface reset,surface reset
S0356,/glossary/directed-energy-deposition/,Is DED a single process?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Narrative,supporting,surface reset,same canvas / spacing gap
S0357,/glossary/directed-energy-deposition/,How is LMD related to DED?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0358,/glossary/directed-energy-deposition/,Can DED use powder or wire?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0359,/glossary/directed-energy-deposition/,When is DED useful?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Narrative,supporting,same canvas / spacing gap,surface reset
S0360,/glossary/directed-energy-deposition/,site-shell glossary-article__sources,site-shell glossary-article__sources,"Present inspectable evidence, source context, or limitations",section depth 2; 610px,Reference,substantial,surface reset,same canvas / spacing gap
S0361,/glossary/directed-energy-deposition/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0362,/glossary/directed-energy-deposition/,Use definitions inside decision workflows,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0363,/glossary/directed-energy-deposition/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0364,/glossary/laser-cladding/,Laser Cladding,glossary-article,Develop the page's primary narrative or task,article depth 0; 2904px,Reference,dominant,same canvas / spacing gap,surface reset
S0365,/glossary/laser-cladding/,site-shell glossary-article__masthead,site-shell glossary-article__masthead,Orient the visitor and establish the page promise,header depth 1; 612px,Reference,substantial,surface reset,same canvas / spacing gap
S0366,/glossary/laser-cladding/,site-shell glossary-article__meaning,site-shell glossary-article__meaning,Develop the page's primary narrative or task,section depth 2; 1124px,Reference,dominant,same canvas / spacing gap,same canvas / spacing gap
S0367,/glossary/laser-cladding/,glossary-article__notes,glossary-article__notes,Provide supporting context without interrupting the primary flow,aside depth 3; 520px,Reference,substantial,same canvas / spacing gap,surface reset
S0368,/glossary/laser-cladding/,glossary-article__faq,glossary-article__faq,Develop the page's primary narrative or task,section depth 2; 578px,Reference,substantial,surface reset,surface reset
S0369,/glossary/laser-cladding/,Is laser cladding a repair process?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Narrative,supporting,surface reset,same canvas / spacing gap
S0370,/glossary/laser-cladding/,Is laser cladding structural?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0371,/glossary/laser-cladding/,Does laser cladding need machining?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0372,/glossary/laser-cladding/,What information is needed for a laser cladding RFQ?,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 130px,Instrument,supporting,same canvas / spacing gap,surface reset
S0373,/glossary/laser-cladding/,site-shell glossary-article__sources,site-shell glossary-article__sources,"Present inspectable evidence, source context, or limitations",section depth 2; 570px,Reference,substantial,surface reset,same canvas / spacing gap
S0374,/glossary/laser-cladding/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0375,/glossary/laser-cladding/,Use definitions inside decision workflows,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0376,/glossary/laser-cladding/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0377,/glossary/laser-metal-deposition/,Laser Metal Deposition,glossary-article,Develop the page's primary narrative or task,article depth 0; 3154px,Reference,dominant,same canvas / spacing gap,surface reset
